codigo_ibge, anomes_s, qtd_cestas_alim_entr_fam_indigenas, qtd_cestas_alim_entr_fam_quilombolas, qtd_cestas_alim_entr_fam_extrativistas, qtd_cestas_alim_entr_fam_pescadores, qtd_cestas_alim_entr_fam_atend_emergencial, qtd_cestas_alim_entr_fam_assentados, qtd_cestas_alim_entr_fam_catadores, qtd_cestas_alim_entr_fam_ciganas, qtd_cestas_alim_entr_fam_rural, qtd_total_cestas_alim_entr
         35,   202501,                                   ,                                     ,                                       ,                                    ,                                       1620,                                  68,                                  0,                                 ,                              0,                     1688.0
         41,   202512,                               1595,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1595.0
         41,   202511,                               1393,                                     ,                                       ,                                    ,                                        750,                                    ,                                   ,                                 ,                               ,                     2143.0
         41,   202510,                                783,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      783.0
         41,   202509,                               1014,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1014.0
         41,   202508,                               1140,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1140.0
         41,   202507,                               1454,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1454.0
         41,   202506,                                172,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      172.0
         41,   202505,                                402,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      402.0
         41,   202504,                                981,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      981.0
         41,   202503,                               1700,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1700.0
         41,   202502,                                874,                                     ,                                       ,                                    ,                                           ,                                   0,                                  0,                                0,                              0,                      874.0
         41,   202501,                                200,                                     ,                                       ,                                    ,                                           ,                                    ,                                  0,                                 ,                              0,                      200.0
         42,   202512,                               3005,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     3005.0
         42,   202511,                               2262,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     2262.0
         42,   202510,                               1929,                                     ,                                       ,                                 450,                                           ,                                    ,                                   ,                                 ,                               ,                     2379.0
         42,   202509,                               1369,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1369.0
         42,   202508,                               2406,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     2406.0
         42,   202507,                                972,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      972.0
         42,   202505,                               2682,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     2682.0
         42,   202504,                               1213,                                     ,                                       ,                                    ,                                        561,                                    ,                                   ,                                 ,                               ,                     1774.0
         42,   202503,                               1715,                                     ,                                       ,                                    ,                                        656,                                    ,                                   ,                                 ,                               ,                     2371.0
         42,   202502,                                458,                                     ,                                       ,                                    ,                                        570,                                   0,                                  0,                                0,                              0,                     1028.0
         42,   202501,                               1617,                                     ,                                       ,                                    ,                                         50,                                    ,                                  0,                                 ,                              0,                     1667.0
         43,   202512,                               6479,                                     ,                                       ,                                4408,                                           ,                                    ,                                   ,                                 ,                               ,                    10887.0
         43,   202511,                               7334,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     7334.0
         43,   202510,                               5663,                                     ,                                       ,                                    ,                                           ,                                 640,                                   ,                                 ,                               ,                     6303.0
         43,   202509,                               5125,                                     ,                                     90,                                3000,                                        200,                                    ,                                   ,                                 ,                               ,                     8415.0
         43,   202508,                               4773,                                     ,                                       ,                                1452,                                        800,                                    ,                                   ,                                 ,                               ,                     7025.0
         43,   202507,                               5843,                                     ,                                       ,                                3415,                                           ,                                    ,                                   ,                                 ,                               ,                     9258.0
         43,   202506,                               3985,                                     ,                                       ,                                 460,                                           ,                                    ,                                   ,                                 ,                               ,                     4445.0
